design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT,False,0.1,19,0.053686956826742294,0.36615505610037696,0.005880567017407254,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,0,0.033768131775957486,0.37297418766097085,0.009512707541160733,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,1,0.04317996997798755,0.37532212675476717,0.0037692612965605703,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,2,0.05100133174343543,0.3871539792580931,0.005446892003743675,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,3,0.08975153875327403,0.3852887940883388,0.011674297533865566,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,4,0.21200262112611856,0.63863230222194,0.005245049292456127,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,5,0.10096357773517409,0.3590162953861826,0.004118018664027182,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,6,0.15079872744207615,0.37017380191066274,0.003442753879724705,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,7,0.08620171523587192,0.3202504235504197,0.008348760518104553,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,8,0.06174088463073054,0.3996549444140986,0.004489276309864847,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,9,0.020492724095693877,0.31428279457163455,0.006359762263244049,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,10,0.13962003474637258,0.3889414849184868,0.004700963813604705,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,11,0.04741253849165738,0.3495626399685252,0.005985614556823697,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,12,0.07683624907773785,0.3514934004936284,0.004410499051151545,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,13,0.281123048938875,0.6811236284226375,0.004330840556596988,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,14,0.12114354284697669,0.30298403384145944,0.004204230986315944,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,15,0.1067993449705162,0.46614236653593105,0.004431215445542036,seqot_results_chain.pt
