design,method,method_label,wrong_order,rho,n_raw,n_trimmed,ate_error_mean,ate_error_sd,ate_error_median,ate_error_q05,ate_error_q95,cf_rmse_mean,cf_rmse_sd,cf_rmse_median,cf_rmse_q05,cf_rmse_q95,cf_inconsistency_mean,cf_inconsistency_sd,cf_inconsistency_median,cf_inconsistency_q05,cf_inconsistency_q95
design_i,seqot,Seq-OT,False,0.1,20,16,0.09574083672664074,0.04256232238405772,0.07818362733686808,0.05498853871787279,0.1527991064745417,0.3867937674381324,0.06649951546733908,0.3658231312855964,0.3298837903539439,0.47109072754705356,,,,,
design_i,seqot,Seq-OT,False,0.3,20,16,0.08378981777401628,0.03599271053369729,0.08151898215680489,0.040827010427480034,0.14241470792029848,0.3831227239243693,0.0357735463004374,0.380305460421553,0.34223458586399885,0.4547030836011148,,,,,
design_i,seqot,Seq-OT,False,0.5,20,16,0.18255470371911114,0.04269714661673322,0.1817334004382194,0.11550633243592937,0.23269864551725017,0.443445947323728,0.04508862234186234,0.4401723834867096,0.3895097599680599,0.5214278504205053,,,,,
design_i,seqot,Seq-OT,False,0.7,20,16,0.29592269133665433,0.059068663209517286,0.29703682100821305,0.21634414004476432,0.3645863157392554,0.5453516528429768,0.05191375438381807,0.5371625810800134,0.48459202856156064,0.6199233018397874,,,,,
design_i,seqot,Seq-OT,False,0.9,20,16,0.41918313678446856,0.059867639617825166,0.39705160081833246,0.34375558280977414,0.5049386775278768,0.6759129695653914,0.060893582416763736,0.6768664879177748,0.592369808614264,0.7630645775683081,,,,,
design_i,seqot,Seq-OT (wrong order),True,0.1,20,16,0.4326779638764964,0.03875835887044958,0.4474639312079157,0.37214853952326044,0.4800358626867794,0.6666648332819192,0.03752574984261725,0.6750247508290487,0.6050375086896222,0.7162070388833612,,,,,
design_i,seqot,Seq-OT (wrong order),True,0.3,20,16,0.437709221737259,0.03863763603384501,0.44811904035135725,0.3730857621773643,0.4775319844676566,0.6689358653840252,0.039455107627118895,0.6776589652055366,0.6049592215080193,0.7216962904444473,,,,,
design_i,seqot,Seq-OT (wrong order),True,0.5,20,16,0.44118524234167483,0.0391844796069843,0.4482056954657977,0.3827622589656903,0.4934124942778868,0.6717073731221697,0.04091565720462272,0.6697243698742581,0.614426566320957,0.7350583630032135,,,,,
design_i,seqot,Seq-OT (wrong order),True,0.7,20,16,0.4443226997841794,0.03560201593833316,0.4488804328704036,0.39139313890513316,0.4987277369436617,0.6696028866997281,0.04064635850940824,0.6707376572672783,0.6129913622965306,0.7353463566657642,,,,,
design_i,seqot,Seq-OT (wrong order),True,0.9,20,16,0.44699136274173795,0.03304192371696534,0.4513979790436473,0.4021768307945037,0.487047678485422,0.6732304819246199,0.037817113282887074,0.6735220106404869,0.6236046834808475,0.7249883275521323,,,,,
design_i,cocycles,Cocycles,False,0.1,20,16,0.10536427539773285,0.08751821678342991,0.08616644889116287,0.03372088447213173,0.24107784032821655,0.24501372314989567,0.16332534096474197,0.21248061954975128,0.13609763234853745,0.44118789583444595,,,,,
